,name,country,city,web,PIC,stage_order,stage_name,tweet_count,tweet_length,tweet_rate,original_ratio,retweeted_ratio,replied_to_ratio,quoted_ratio,quoted_replied_to_ratio,retweet_count,retweet_ratio,retweet_rate,reply_count,reply_ratio,reply_rate,like_count,like_rate,like_ratio,quote_count,quote_rate,quote_ratio,engagement_ratio,stage_success
1709,FIRALIS,FRANCE,HUNINGUE,http://www.firalis.com,997607753,1,INCEPTION,106.0,197.83962264150944,0.045318512184694314,0.8301886792452831,0.11320754716981132,,0.05660377358490566,,147.0,1.3867924528301887,0.06284737067122702,6.0,0.05660377358490566,0.0025651988029072254,67.0,0.02864471996579735,0.6320754716981132,67.0,0.02864471996579735,0.6320754716981132,2.1037735849056602,0
1071,ADVANCED INNOVATIVE ENGINEERING (UK) LIMITED,UNITED KINGDOM,LICHFIELD,http://www.aieuk.com,931535136,1,INCEPTION,237.0,128.9071729957806,0.13367174280879865,0.7974683544303798,0.189873417721519,0.004219409282700422,0.008438818565400843,,236.0,0.9957805907172996,0.13310772701635645,8.0,0.03375527426160337,0.0045121263395375075,215.0,0.1212633953750705,0.9071729957805907,215.0,0.1212633953750705,0.9071729957805907,1.9620253164556962,0
964,THE SOCIAL COIN SL,SPAIN,CAN PLANA CAMPINS,http://www.thesocialcoin.org,927540676,1,INCEPTION,,,,,,,,,,,,,,,,,,,,,,0
774,"AMAPEX TRADING, S.L.U",SPAIN,BARCELONA,,920814987,1,INCEPTION,,,,,,,,,,,,,,,,,,,,,,0
324,OPERATIONS & DATA INTEGRITY (ODI) LTD,ISRAEL,ROSH HAAYIN,http://odi-x.com,909340566,1,INCEPTION,45.0,125.8,0.08181818181818182,0.8666666666666667,0.022222222222222223,0.06666666666666667,0.044444444444444446,,18.0,0.4,0.03272727272727273,2.0,0.044444444444444446,0.0036363636363636364,30.0,0.05454545454545454,0.6666666666666666,30.0,0.05454545454545454,0.6666666666666666,1.1333333333333333,1
203,ARCATRUST SA,SWITZERLAND,LAUSANNE,http://www.arcatrust.io,905551164,1,INCEPTION,173.0,209.15028901734104,0.1977142857142857,0.7052023121387283,0.2947976878612717,,,,264.0,1.5260115606936415,0.3017142857142857,1.0,0.005780346820809248,0.001142857142857143,271.0,0.3097142857142857,1.5664739884393064,271.0,0.3097142857142857,1.5664739884393064,3.121387283236994,0
84,FUTURE TECHNOLOGY AS,NORWAY,SANDEFJORD,http://futuretechnology.no,900970242,1,INCEPTION,,,,,,,,,,,,,,,,,,,,,,0
633,CERES HOLOGRAPHICS LIMITED,UNITED KINGDOM,ST ANDREWS,http://www.ceresholographics.com,917003275,1,INCEPTION,75.0,121.16,0.06028938906752412,0.5066666666666667,0.38666666666666666,0.02666666666666667,0.08,,2799.0,37.32,2.25,2.0,0.02666666666666667,0.001607717041800643,31.0,0.02491961414790997,0.41333333333333333,31.0,0.02491961414790997,0.41333333333333333,37.76,1
908,CARDLAB INNOVATION APS,DENMARK,HERLEV,http://www.cardlab.com,925587193,1,INCEPTION,,,,,,,,,,,,,,,,,,,,,,0
1589,QUANTISLABS INFORMATIKAI BIZTONSAGTECHNIKAI KUTATOLABORATORIUM K,HUNGARY,BUDAPEST,http://www.smartvineyard.com,957850460,1,INCEPTION,,,,,,,,,,,,,,,,,,,,,,0
611,BETALIN THERAPEUTICS LTD,ISRAEL,RAMAT GAM,http://www.betalintherapeutics.com,916614693,1,INCEPTION,,,,,,,,,,,,,,,,,,,,,,0
398,BIODENTIFY BV,NETHERLANDS,DELFT,http://biodentify.nl,910753371,1,INCEPTION,,,,,,,,,,,,,,,,,,,,,,0
91,MOONBIKES MOTORS,FRANCE,PARIS,http://www.moonbikes.co,901250960,1,INCEPTION,3.0,139.66666666666666,0.08108108108108109,,1.0,,,,9.0,3.0,0.24324324324324326,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1
1106,INNOWASTE KORLATOLT FELELOSSEGU TARSASAG,HUNGARY,GYOR,http://www.inno-waste.com,934330385,1,INCEPTION,,,,,,,,,,,,,,,,,,,,,,0
430,SCHROTT24 GMBH,AUSTRIA,GRAZ,http://www.schrott24.at,911172023,1,INCEPTION,39.0,189.87179487179486,0.06866197183098592,1.0,,,,,3.0,0.07692307692307693,0.00528169014084507,1.0,0.02564102564102564,0.0017605633802816902,16.0,0.028169014084507043,0.41025641025641024,16.0,0.028169014084507043,0.41025641025641024,0.5384615384615384,0
779,CADEL DEINKING S.L.,SPAIN,ALFARASI VALENCIA,http://cadeldeinking.com,920996474,1,INCEPTION,,,,,,,,,,,,,,,,,,,,,,0
1143,SAMPLIX APS,DENMARK,HERLEV,http://www.samplix.com,934597911,1,INCEPTION,432.0,183.8773148148148,0.5173652694610779,0.6296296296296297,0.28703703703703703,0.05787037037037037,0.02546296296296296,,29379.0,68.00694444444444,35.18443113772455,42.0,0.09722222222222222,0.05029940119760479,1440.0,1.7245508982035929,3.3333333333333335,1440.0,1.7245508982035929,3.3333333333333335,71.56944444444444,0
291,CARBOMED MEDICAL SOLUTIONS GMBH & CO KG,AUSTRIA,GRAZ,http://www.carbomed-ms.com,907755974,1,INCEPTION,,,,,,,,,,,,,,,,,,,,,,1
57,KIUTRA GMBH,GERMANY,GILCHING,http://www.kiutra.com,899789946,1,INCEPTION,29.0,241.13793103448276,0.07213930348258707,0.8620689655172413,,0.06896551724137931,0.06896551724137931,,25.0,0.8620689655172413,0.06218905472636816,2.0,0.06896551724137931,0.004975124378109453,69.0,0.17164179104477612,2.3793103448275863,69.0,0.17164179104477612,2.3793103448275863,3.3448275862068964,0
1345,ADVANCED MICROTURBINES SRL,ITALY,GENOVA GE,http://www.microturbines.it,938084285,1,INCEPTION,,,,,,,,,,,,,,,,,,,,,,0
257,ENERTECHNOS LIMITED,UNITED KINGDOM,KINGSTON UPON THAMES SURREY,http://www.enertechnos.com,906149557,1,INCEPTION,47.0,210.5531914893617,0.022169811320754716,0.5957446808510638,0.23404255319148937,0.10638297872340426,0.06382978723404255,,3032.0,64.51063829787235,1.430188679245283,1.0,0.02127659574468085,0.0004716981132075472,56.0,0.026415094339622643,1.1914893617021276,56.0,0.026415094339622643,1.1914893617021276,65.80851063829788,0
888,VIRTUAL SOLUTIONS KFT,HUNGARY,BUDAPEST,http://www.virtualconstructor.com,925062617,1,INCEPTION,,,,,,,,,,,,,,,,,,,,,,0
1707,ACIES BIO BIOTEHNOLOSKE RAZISKAVE IN RAZVOJ DOO,SLOVENIA,LJUBLJANA,http://www.aciesbio.com,997260784,1,INCEPTION,,,,,,,,,,,,,,,,,,,,,,0
1466,AUGMENT,FRANCE,.,http://www.augment.com,946737946,1,INCEPTION,1934.0,119.11737331954498,0.9832231825114387,0.609100310237849,0.2678386763185109,0.0889348500517063,0.03412616339193381,,10053.0,5.198035160289555,5.110828673106253,97.0,0.05015511892450879,0.04931367564819522,1887.0,0.9593289273004576,0.9756980351602895,1887.0,0.9593289273004576,0.9756980351602895,6.258531540847984,0
1066,NEXTSENSE GMBH,AUSTRIA,GRAZ,http://www.nextsense.at,931395941,1,INCEPTION,,,,,,,,,,,,,,,,,,,,,,0
